contract_awarded_to,data_source,contract_award_price,contract_id,contract_title,awarding_agency_link,contract_signed_on,awarding_ministry,currency,awarding_agency,tender_description,estimated_contract_completion_date,tender_type,tender_lot_Numbers,address,scraped_time,company_email,tender_package_no,awarding_agency_ministry
Herona Co. Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=24,269038.0,24.0,Supply of Essential Medicines,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,2012-07-25,Ministry of Health,New Ghana Cedi,Ghana Health Service,Supply of Essential Medicines,2012-09-20,NCT,Various,"5 Osabu Street
Abelenkpe-Accra",2017-10-06 11:05:12.114174,,GHS/ER/2012/NCT/B.2.1/01,Ghana Health Service /Ministry of Health
Anointed Pillars Associates,https://www.ppaghana.org/contractdetail.asp?Con_ID=25,2444702.0,25.0,Extension of Classrooms for GIMPA Law School,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1362,2011-06-09,Ministry of Education,New Ghana Cedi,Ghana Institute of Management And Public Administration,Extension of Classrooms for GIMPA Law School,2012-02-28,NCT,1,"P O Box GP 18345
 Accra",2017-10-06 11:05:11.670421,,NCT/GIMPA/WKS/01/11,Ghana Institute of Management And Public Administration/Ministry of Education
Premier Shelther Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=26,178064.0,26.0,Upgrading of Main Kitchen at GECC,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1362,2011-08-25,Ministry of Education,New Ghana Cedi,Ghana Institute of Management And Public Administration,,2011-11-30,NCT,1,"P O Box An 11587
Accra-North",2017-10-09 09:59:27.802685,,GR/GIMPA/WK/0011/2011,Ghana Institute of Management And Public Administration/Ministry of Education
St. Kem Pharma Co. Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=27,120800.0,27.0,Supply of Essential Medicines,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,2012-07-25,Ministry of Health,New Ghana Cedi,Ghana Health Service,Supply of Essential Medicines,2012-12-31,NCT,Various,"P.O.Box AT 2082
Achimota-Accra",2017-10-06 11:05:35.066248,,GHS/ER/2012/NCT/B.2.1/01,Ghana Health Service /Ministry of Health
East Cantonments Pharmacy,https://www.ppaghana.org/contractdetail.asp?Con_ID=28,1065570.0,28.0,Supply of Essential Medicines,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,2012-07-25,Ministry of Health,New Ghana Cedi,Ghana Health Service,Supply of Essential Medicines,2012-12-31,NCT,Various,"P.O.Box 20149
Accra",2017-10-09 09:59:49.668408,,GHS/ER/2012/NCT/B.2.1/01,Ghana Health Service /Ministry of Health
Pharmanova Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=29,963180.0,29.0,Supply of Essential Medicines,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,2012-07-25,Ministry of Health,New Ghana Cedi,Ghana Health Service,Supply of Essential Medicines,2012-12-31,NCT,Various,"P.O.Box AT 579
Achimota-Accra",2017-10-09 09:59:08.854346,,GHS/ER/2012/NCT/B.2.1/01,Ghana Health Service /Ministry of Health
Sanbao Pharma Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=31,746200.0,31.0,Supply of Essential Medicines,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,2012-07-25,Ministry of Health,New Ghana Cedi,Ghana Health Service,Supply of Essential Medicines,2012-12-31,NCT,Various,"P.O.Box CE12118
Comm.11-Tema",2017-10-06 11:05:12.023914,,GHS/ER/2012/NCT/B.2.1/01,Ghana Health Service /Ministry of Health
Valley View Pharmacy Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=32,29900.0,32.0,Supply of Essential Medicines,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,2012-07-25,Ministry of Health,New Ghana Cedi,Ghana Health Service,Supply of Essential Medicines,2012-12-31,NCT,240,"P.O.Box KA9606
KIA-Accra",2017-10-06 11:05:57.446187,,GHS/ER/2012/NCT/B.2.1/01,Ghana Health Service /Ministry of Health
Richsam Pharmacy Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=33,218900.0,33.0,Essential Medicines,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=696,2012-07-25,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateEastern Region,Procurement of Essential Medicines,2012-12-31,NCT,"175,176","P.O.Box 3345
Accra",2017-10-06 11:05:14.844539,,GHS/ER/2010/NCT/B.2.1/01,Office of the Regional Health DirectorateEastern Region/Ministry of Health
Dannex Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=34,596070.0,34.0,Supply of Essential Medicines,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,2012-07-25,Ministry of Health,New Ghana Cedi,Ghana Health Service,Supply of Essential Medicines,2012-12-31,NCT,Various,"P.O.Box 5258
Accra-North",2017-10-06 11:05:24.924781,,GHS/ER/2012/NCT/B.2.1/01,Ghana Health Service /Ministry of Health
Kama Health Services,https://www.ppaghana.org/contractdetail.asp?Con_ID=35,325340.0,35.0,Supply of Essential Medicines,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,2012-07-25,Ministry of Health,New Ghana Cedi,Ghana Health Service,Supply of Essential Medicines,2012-12-31,NCT,Various,"P.O.Box AN 5437
Accra",2017-10-06 11:06:30.732940,,GHS/ER/2012/NCT/B.2.1/01,Ghana Health Service /Ministry of Health
M & G Pharma Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=38,655310.0,38.0,Supply of Essential Medicines,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,2012-07-25,Ministry of Health,New Ghana Cedi,Ghana Health Service,Supply of Essential Medicines,2012-12-31,NCT,Various,"P.O.Box 1681
Accra",2017-10-06 11:06:30.598823,,GHS/ER/2012/NCT/B.2.1/01,Ghana Health Service /Ministry of Health
Mona Pharma Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=39,78000.0,39.0,Supply of Essential Medicines,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,2012-07-25,Ministry of Health,New Ghana Cedi,Ghana Health Service,Supply of Essential Medicines,2012-12-31,NCT,Various,"P.O.Box 3368
Accra",2017-10-06 11:05:48.762467,,GHS/ER/2012/NCT/B.2.1/01,Ghana Health Service /Ministry of Health
Spintex Chemists Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=40,28500.0,40.0,Supply of Essential Medicines,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,2012-07-25,Ministry of Health,New Ghana Cedi,Ghana Health Service,Supply of Essential Medicines,2012-12-31,NCT,Various,"P.O.Box MP 1487
Accra",2017-10-09 09:59:30.597366,,GHS/ER/2012/NCT/B.2.1/01,Ghana Health Service /Ministry of Health
Lagray Chemicals Co. Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=41,41500.0,41.0,Supply of Essential Medicines,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,2012-07-25,Ministry of Health,New Ghana Cedi,Ghana Health Service,Supply of Essential Medicines,2012-12-31,NCT,Various,"P.O.Box NW 224
Nsawam",2017-10-06 11:06:13.112162,,GHS/ER/2012/NCT/B.2.1/01,Ghana Health Service /Ministry of Health
Kinapharma Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=42,833750.0,42.0,Supply of Essential Medicines,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,2012-07-25,Ministry of Health,New Ghana Cedi,Ghana Health Service,Supply of Essential Medicines,2012-12-31,NCT,Various,"P.O.Box TF 241
Accra",2017-10-06 11:06:17.559315,,GHS/ER/2012/NCT/B.2.1/01,Ghana Health Service /Ministry of Health
Palb Pharma Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=43,743500.0,43.0,Supply of Essential Medicines,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,2012-07-25,Ministry of Health,New Ghana Cedi,Ghana Health Service,Supply of Essential Medicines,2012-12-31,NCT,Various,"B918/7 Okumuafo Loop
Kaneshie Estate-Accra",2017-10-06 11:06:29.493792,,GHS/ER/2012/NCT/B.2.1/01,Ghana Health Service /Ministry of Health
Hills Pharmacy Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=44,463960.0,44.0,Supply of Essential Medicines,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,2012-07-25,Ministry of Health,New Ghana Cedi,Ghana Health Service,Supply of Essential Medicines,2012-12-31,NCT,Various,"P.O.Box GP 14672
Accra",2017-10-06 11:05:49.497835,,GHS/ER/2012/NCT/B.2.1/01,Ghana Health Service /Ministry of Health
Amponsah Effah Pharmaceuticals Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=45,21450.0,45.0,Supply of Essential Medicines,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,2012-07-25,Ministry of Health,New Ghana Cedi,Ghana Health Service,Supply of Essential Medicines,2012-12-31,NCT,"33,132","P.O.Box 6462
Kumasi",2017-10-06 11:06:11.693938,,GHS/ER/2012/NCT/B.2.1/01,Ghana Health Service /Ministry of Health
Tobinco Pharma Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=46,794539.0,46.0,Supply of Essential Medicines,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,2012-07-25,Ministry of Health,New Ghana Cedi,Ghana Health Service,Supply of Essential Medicines,2012-12-31,NCT,Various,"P.O.Box GP 13808
Accra",2017-10-06 11:06:30.162485,,GHS/ER/2012/NCT/B.2.1/01,Ghana Health Service /Ministry of Health
Unichem Chemist Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=47,10000.0,47.0,Supply of Essential Medicines,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,2012-07-25,Ministry of Health,New Ghana Cedi,Ghana Health Service,Supply of Essential Medicines,2012-12-31,NCT,Various,"P.O.Box 15146
Accra-North",2017-10-06 11:06:18.134632,,GHS/ER/2012/NCT/B.2.1/01,Ghana Health Service /Ministry of Health
GR Industries Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=48,387500.0,48.0,Supply of Essential Medicines,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,2012-07-25,Ministry of Health,New Ghana Cedi,Ghana Health Service,Supply of Essential Medicines,2012-12-31,NCT,Various,"P.O.Box 3368
Accra",2017-10-06 11:06:38.902511,,GHS/ER/2012/NCT/B.2.1/01,Ghana Health Service /Ministry of Health
GLOBUS HEALTHCARE SERVICES,https://www.ppaghana.org/contractdetail.asp?Con_ID=49,96000.0,49.0,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,2011-11-23,Ministry of Health,New Ghana Cedi,Komfo Anokye Teaching Hospital,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,2011-12-07,NCT,118,ACCRA,2017-10-06 11:06:30.011302,,AR/KATH/NCT/GD/04/11,Komfo Anokye Teaching Hospital /Ministry of Health
KWABENA BOASIAKO ENTERPRISE,https://www.ppaghana.org/contractdetail.asp?Con_ID=50,1356.0,50.0,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,2011-11-09,Ministry of Health,New Ghana Cedi,Komfo Anokye Teaching Hospital,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,2011-11-23,NCT,30,KUMASI,2017-10-06 11:06:30.935022,,AR/KATH/NCT/GD/04/11,Komfo Anokye Teaching Hospital /Ministry of Health
NAMARKA MODERN MEDICALS LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=51,4000.0,51.0,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,2011-11-08,Ministry of Health,New Ghana Cedi,Komfo Anokye Teaching Hospital,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,2012-11-08,NCT,185,KUMASI,2017-10-06 11:06:45.730715,,AR/KATH/NCT/GD/04/11,Komfo Anokye Teaching Hospital /Ministry of Health
BEAUTIFUL CREATIONS CO. LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=52,9000.0,52.0,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,2011-10-31,Ministry of Health,New Ghana Cedi,Komfo Anokye Teaching Hospital,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,2011-11-14,NCT,130,ACCRA,2017-10-06 11:06:58.837271,,AR/KATH/NCT/GD/04/11,Komfo Anokye Teaching Hospital /Ministry of Health
PREFERENTIAL MEDICAL SUPPLIES,https://www.ppaghana.org/contractdetail.asp?Con_ID=53,4000.0,53.0,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,2011-10-31,Ministry of Health,New Ghana Cedi,Komfo Anokye Teaching Hospital,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,2011-11-14,NCT,54,ACCRA,2017-10-06 11:06:58.938834,,AR/KATH/NCT/GD/04/11,Komfo Anokye Teaching Hospital /Ministry of Health
SACHEAL PHARMACY LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=55,19200.0,55.0,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,2011-10-31,Ministry of Health,New Ghana Cedi,Komfo Anokye Teaching Hospital,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,2011-11-14,NCT,128,ACCRA,2017-10-06 11:07:17.747401,,AR/KATH/NCT/GD/04/11,Komfo Anokye Teaching Hospital /Ministry of Health
WISGOD SERVICES,https://www.ppaghana.org/contractdetail.asp?Con_ID=56,3750.0,56.0,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,2011-10-31,Ministry of Health,New Ghana Cedi,Komfo Anokye Teaching Hospital,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,2011-11-14,NCT,133,ACCRA,2017-10-06 11:06:51.027317,,AR/KATH/NCT/GD/04/11,Komfo Anokye Teaching Hospital /Ministry of Health
ALPHA INNOVATIONS,https://www.ppaghana.org/contractdetail.asp?Con_ID=57,30400.0,57.0,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,2011-10-31,Ministry of Health,New Ghana Cedi,Komfo Anokye Teaching Hospital,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,2011-11-14,NCT,5,KUMASI,2017-10-06 11:08:00.467406,,AR/KATH/NCT/GD/04/11,Komfo Anokye Teaching Hospital /Ministry of Health
ALPHA INNOVATIONS,https://www.ppaghana.org/contractdetail.asp?Con_ID=59,65000.0,59.0,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,2011-10-31,Ministry of Health,New Ghana Cedi,Komfo Anokye Teaching Hospital,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,2011-11-14,NCT,3,KUMASI,2017-10-06 11:07:13.916204,,AR/KATH/NCT/GD/04/11,Komfo Anokye Teaching Hospital /Ministry of Health
ACGYAN VENTURES LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=60,13600.0,60.0,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,2011-10-31,Ministry of Health,New Ghana Cedi,Komfo Anokye Teaching Hospital,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,2011-11-14,NCT,4,KUMASI,2017-10-09 10:00:01.505747,,AR/KATH/NCT/GD/04/11,Komfo Anokye Teaching Hospital /Ministry of Health
CAP NOBLE AGENCY,https://www.ppaghana.org/contractdetail.asp?Con_ID=61,3000.0,61.0,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,2011-10-31,Ministry of Health,New Ghana Cedi,Komfo Anokye Teaching Hospital,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,2011-11-14,NCT,30,ACCRA,2017-10-06 11:07:01.514324,,AR/KATH/NCT/GD/04/11,Komfo Anokye Teaching Hospital /Ministry of Health
ALIZABEY ENTERPRISE,https://www.ppaghana.org/contractdetail.asp?Con_ID=62,13980.0,62.0,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,2011-10-31,Ministry of Health,New Ghana Cedi,Komfo Anokye Teaching Hospital,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,2011-11-14,NCT,28,ACCRA,2017-10-09 10:00:04.374528,,AR/KATH/NCT/GD/04/11,Komfo Anokye Teaching Hospital /Ministry of Health
UNIQUE LUV COMPANY LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=63,9600.0,63.0,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,2011-10-31,Ministry of Health,New Ghana Cedi,Komfo Anokye Teaching Hospital,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,2011-11-14,NCT,31,KUMASI,2017-10-06 11:07:07.546151,,AR/KATH/NCT/GD/04/11,Komfo Anokye Teaching Hospital /Ministry of Health
AJEKS GENERAL SERVICES,https://www.ppaghana.org/contractdetail.asp?Con_ID=64,15000.0,64.0,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,2011-10-31,Ministry of Health,New Ghana Cedi,Komfo Anokye Teaching Hospital,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,2011-11-14,NCT,63,KUMASI,2017-10-06 11:07:23.000390,,AR/KATH/NCT/GD/04/11,Komfo Anokye Teaching Hospital /Ministry of Health
