address,awarding_agency,awarding_agency_link,awarding_agency_ministry,awarding_ministry,company_email,contract_award_price,contract_awarded_to,contract_id,contract_signed_on,contract_title,currency,data_source,estimated_contract_completion_date,tender_description,tender_lot_Numbers,tender_package_no,tender_type
"P O Box GP 18345
 Accra",Ghana Institute of Management And Public Administration,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1362,Ghana Institute of Management And Public Administration/Ministry of Education,Ministry of Education,,2444702,Anointed Pillars Associates,25,2011-06-09,Extension of Classrooms for GIMPA Law School,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=25,2012-02-28,Extension of Classrooms for GIMPA Law School,1,NCT/GIMPA/WKS/01/11,NCT
"P O Box An 11587
Accra-North",Ghana Institute of Management And Public Administration,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1362,Ghana Institute of Management And Public Administration/Ministry of Education,Ministry of Education,,178064,Premier Shelther Limited,26,2011-08-25,Upgrading of Main Kitchen at GECC,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=26,2011-11-30,,1,GR/GIMPA/WK/0011/2011,NCT
"P.O.Box AT 2082
Achimota-Accra",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,120800,St. Kem Pharma Co. Ltd,27,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=27,2012-12-31,Supply of Essential Medicines,Various,GHS/ER/2012/NCT/B.2.1/01,NCT
"P.O.Box 20149
Accra",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,1065570,East Cantonments Pharmacy,28,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=28,2012-12-31,Supply of Essential Medicines,Various,GHS/ER/2012/NCT/B.2.1/01,NCT
"P.O.Box AT 579
Achimota-Accra",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,963180,Pharmanova Ltd,29,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=29,2012-12-31,Supply of Essential Medicines,Various,GHS/ER/2012/NCT/B.2.1/01,NCT
"P.O.Box 3345
Accra",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,811500,Ernest Chemists Ltd,30,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=30,2012-12-31,Supply of Essential Medicines,Various,GHS/ER/2012/NCT/B.2.1/01,NCT
"P.O.Box CE12118
Comm.11-Tema",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,746200,Sanbao Pharma Ltd,31,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=31,2012-12-31,Supply of Essential Medicines,Various,GHS/ER/2012/NCT/B.2.1/01,NCT
"P.O.Box KA9606
KIA-Accra",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,29900,Valley View Pharmacy Ltd,32,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=32,2012-12-31,Supply of Essential Medicines,240,GHS/ER/2012/NCT/B.2.1/01,NCT
"P.O.Box 3345
Accra",Office of the Regional Health DirectorateEastern Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=696,Office of the Regional Health DirectorateEastern Region/Ministry of Health,Ministry of Health,,218900,Richsam Pharmacy Ltd,33,2012-07-25,Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=33,2012-12-31,Procurement of Essential Medicines,175176,GHS/ER/2010/NCT/B.2.1/01,NCT
"P.O.Box 5258
Accra-North",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,596070,Dannex Ltd,34,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=34,2012-12-31,Supply of Essential Medicines,Various,GHS/ER/2012/NCT/B.2.1/01,NCT
"P.O.Box AN 5437
Accra",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,325340,Kama Health Services,35,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=35,2012-12-31,Supply of Essential Medicines,Various,GHS/ER/2012/NCT/B.2.1/01,NCT
"P.O.Box 14516
Accra",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,136500,Frandak Agency,36,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=36,2012-12-31,Supply of Essential Medicines,Various,GHS/ER/2012/NCT/B.2.1/01,NCT
"P.O.Box GP623
Accra",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,192500,Gokals Ltd,37,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=37,2012-12-31,Supply of Essential Medicines,Various,GHS/ER/2012/NCT/B.2.1/01,NCT
"P.O.Box 1681
Accra",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,655310,M & G Pharma Ltd,38,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=38,2012-12-31,Supply of Essential Medicines,Various,GHS/ER/2012/NCT/B.2.1/01,NCT
"P.O.Box 3368
Accra",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,78000,Mona Pharma Ltd,39,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=39,2012-12-31,Supply of Essential Medicines,Various,GHS/ER/2012/NCT/B.2.1/01,NCT
"P.O.Box MP 1487
Accra",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,28500,Spintex Chemists Ltd,40,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=40,2012-12-31,Supply of Essential Medicines,Various,GHS/ER/2012/NCT/B.2.1/01,NCT
"P.O.Box NW 224
Nsawam",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,41500,Lagray Chemicals Co. Ltd,41,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=41,2012-12-31,Supply of Essential Medicines,Various,GHS/ER/2012/NCT/B.2.1/01,NCT
"P.O.Box TF 241
Accra",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,833750,Kinapharma Ltd,42,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=42,2012-12-31,Supply of Essential Medicines,Various,GHS/ER/2012/NCT/B.2.1/01,NCT
"B918/7 Okumuafo Loop
Kaneshie Estate-Accra",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,743500,Palb Pharma Ltd,43,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=43,2012-12-31,Supply of Essential Medicines,Various,GHS/ER/2012/NCT/B.2.1/01,NCT
"P.O.Box GP 14672
Accra",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,463960,Hills Pharmacy Ltd,44,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=44,2012-12-31,Supply of Essential Medicines,Various,GHS/ER/2012/NCT/B.2.1/01,NCT
"P.O.Box 6462
Kumasi",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,21450,Amponsah Effah Pharmaceuticals Ltd,45,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=45,2012-12-31,Supply of Essential Medicines,33132,GHS/ER/2012/NCT/B.2.1/01,NCT
"P.O.Box GP 13808
Accra",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,794539,Tobinco Pharma Ltd,46,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=46,2012-12-31,Supply of Essential Medicines,Various,GHS/ER/2012/NCT/B.2.1/01,NCT
"P.O.Box 15146
Accra-North",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,10000,Unichem Chemist Ltd,47,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=47,2012-12-31,Supply of Essential Medicines,Various,GHS/ER/2012/NCT/B.2.1/01,NCT
"P.O.Box 3368
Accra",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,387500,GR Industries Ltd,48,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=48,2012-12-31,Supply of Essential Medicines,Various,GHS/ER/2012/NCT/B.2.1/01,NCT
ACCRA,Komfo Anokye Teaching Hospital,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,Komfo Anokye Teaching Hospital /Ministry of Health,Ministry of Health,,96000,GLOBUS HEALTHCARE SERVICES,49,2011-11-23,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=49,2011-12-07,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,118,AR/KATH/NCT/GD/04/11,NCT
KUMASI,Komfo Anokye Teaching Hospital,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,Komfo Anokye Teaching Hospital /Ministry of Health,Ministry of Health,,1356,KWABENA BOASIAKO ENTERPRISE,50,2011-11-09,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=50,2011-11-23,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,30,AR/KATH/NCT/GD/04/11,NCT
KUMASI,Komfo Anokye Teaching Hospital,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,Komfo Anokye Teaching Hospital /Ministry of Health,Ministry of Health,,4000,NAMARKA MODERN MEDICALS LTD,51,2011-11-08,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=51,2012-11-08,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,185,AR/KATH/NCT/GD/04/11,NCT
ACCRA,Komfo Anokye Teaching Hospital,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,Komfo Anokye Teaching Hospital /Ministry of Health,Ministry of Health,,9000,BEAUTIFUL CREATIONS CO. LTD,52,2011-10-31,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=52,2011-11-14,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,130,AR/KATH/NCT/GD/04/11,NCT
ACCRA,Komfo Anokye Teaching Hospital,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,Komfo Anokye Teaching Hospital /Ministry of Health,Ministry of Health,,4000,PREFERENTIAL MEDICAL SUPPLIES,53,2011-10-31,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=53,2011-11-14,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,54,AR/KATH/NCT/GD/04/11,NCT
KUMASI,Komfo Anokye Teaching Hospital,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,Komfo Anokye Teaching Hospital /Ministry of Health,Ministry of Health,,12600,EQUIPMENT PIONEER & TRADING ENTERPRISE,54,2011-11-04,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=54,2011-11-18,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,178,AR/KATH/NCT/GD/04/11,NCT
ACCRA,Komfo Anokye Teaching Hospital,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,Komfo Anokye Teaching Hospital /Ministry of Health,Ministry of Health,,19200,SACHEAL PHARMACY LTD,55,2011-10-31,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=55,2011-11-14,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,128,AR/KATH/NCT/GD/04/11,NCT
ACCRA,Komfo Anokye Teaching Hospital,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,Komfo Anokye Teaching Hospital /Ministry of Health,Ministry of Health,,3750,WISGOD SERVICES,56,2011-10-31,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=56,2011-11-14,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,133,AR/KATH/NCT/GD/04/11,NCT
KUMASI,Komfo Anokye Teaching Hospital,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,Komfo Anokye Teaching Hospital /Ministry of Health,Ministry of Health,,30400,ALPHA INNOVATIONS,57,2011-10-31,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=57,2011-11-14,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,5,AR/KATH/NCT/GD/04/11,NCT
ACCRA,Komfo Anokye Teaching Hospital,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,Komfo Anokye Teaching Hospital /Ministry of Health,Ministry of Health,,6500,ERNEST CHEMIST LIMITED,58,2011-10-31,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=58,2011-11-14,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,12,AR/KATH/NCT/GD/04/11,NCT
